group,layer,opponent,n_inputs,mean_logp_margin
F11,20,C1,16,1.244140625
F11,21,C1,16,1.50390625
F11,22,C1,16,1.6933594942092896
F11,23,C1,16,3.77734375
F11,24,C1,16,5.125
F11,25,C1,16,12.765625
F11,26,C1,16,16.2890625
F11,27,C1,16,15.1484375
F11,28,C1,16,14.57421875
F11,29,C1,16,14.3203125
F11,30,C1,16,9.8359375
F11,31,C1,16,10.8828125
F11,32,C1,16,3.2578125
F12,0,C1,16,0.0
F12,1,C1,16,0.12353515625
F12,2,C1,16,0.171600341796875
F12,3,C1,16,0.24072265625
F12,4,C1,16,0.00634765625
F12,5,C1,16,0.171875
F12,6,C1,16,0.39208984375
F12,7,C1,16,0.5888668298721313
F12,8,C1,16,0.84033203125
F12,9,C1,16,1.3046875
F12,10,C1,16,0.412109375
F12,11,C1,16,0.63671875
F12,12,C1,16,0.6573486328125
F12,13,C1,16,-0.00875866413116455
F12,14,C1,16,-0.010986328125
F12,15,C1,16,-1.026641845703125
F12,16,C1,16,-0.775390625
F12,17,C1,16,1.0625305771827698
F12,18,C1,16,0.9652099609375
F12,19,C1,16,0.72900390625
F12,20,C1,16,1.2127685546875
F12,21,C1,16,1.5234375
F12,22,C1,16,2.0751952528953552
F12,23,C1,16,3.9863280951976776
F12,24,C1,16,5.464843764901161
F12,25,C1,16,8.2421875
F12,26,C1,16,7.011718764901161
F12,27,C1,16,7.6484375
F12,28,C1,16,7.2578125
F12,29,C1,16,7.1640625
F12,30,C1,16,4.89062499627471
F12,31,C1,16,5.21875
F12,32,C1,16,2.1015624925494194
F01,0,C2,16,0.201171875
F01,1,C2,16,0.7183303833007812
F01,2,C2,16,0.51220703125
F01,3,C2,16,1.749755859375
F01,4,C2,16,0.96044921875
F01,5,C2,16,1.4886627197265625
F01,6,C2,16,2.537353515625
F01,7,C2,16,0.3111572265625
F01,8,C2,16,-0.75592041015625
F01,9,C2,16,1.0052490234375
F01,10,C2,16,-0.66650390625
F01,11,C2,16,1.1300048828125
F01,12,C2,16,-3.1630249619483948
F01,13,C2,16,-1.8017579317092896
F01,14,C2,16,6.182556211948395
F01,15,C2,16,6.849044561386108
F01,16,C2,16,5.471679508686066
F01,17,C2,16,5.79595947265625
F01,18,C2,16,6.067619323730469
F01,19,C2,16,7.866210699081421
F01,20,C2,16,7.2890625
F01,21,C2,16,9.741149961948395
F01,22,C2,16,7.2626954317092896
F01,23,C2,16,8.046875
F01,24,C2,16,9.101562514901161
F01,25,C2,16,10.867187455296516
F01,26,C2,16,13.05859375
F01,27,C2,16,11.640625
F01,28,C2,16,7.8359375
F01,29,C2,16,15.3125
F01,30,C2,16,10.953124970197678
F01,31,C2,16,11.078124940395355
F01,32,C2,16,2.7265624962747097
F02,0,C2,16,-0.24688720703125
F02,1,C2,16,0.522064208984375
F02,2,C2,16,0.06775474548339844
F02,3,C2,16,0.26114654541015625
F02,4,C2,16,-0.269287109375
F02,5,C2,16,1.5426025390625
F02,6,C2,16,1.2777099609375
F02,7,C2,16,-1.0593258142471313
F02,8,C2,16,-1.998046875
F02,9,C2,16,-1.12738037109375
F02,10,C2,16,1.7148590087890625
F02,11,C2,16,0.4106597900390625
F02,12,C2,16,-1.67523193359375
F02,13,C2,16,1.227050542831421
F02,14,C2,16,2.3215028643608093
F02,15,C2,16,3.7499999403953552
F02,16,C2,16,2.0650025010108948
F02,17,C2,16,3.3713380098342896
F02,18,C2,16,2.7348633408546448
F02,19,C2,16,4.410400331020355
F02,20,C2,16,4.3125
F02,21,C2,16,6.043945252895355
F02,22,C2,16,5.238281190395355
F02,23,C2,16,7.613281190395355
F02,24,C2,16,10.910156279802322
F02,25,C2,16,3.1562500298023224
F02,26,C2,16,6.79296875
F02,27,C2,16,6.56640625
F02,28,C2,16,5.7890625
F02,29,C2,16,17.60156226158142
F02,30,C2,16,10.4140625
F02,31,C2,16,8.859374970197678
F02,32,C2,16,2.3046874962747097
F03,0,C2,16,-4.51171875
F03,1,C2,16,0.0498046875
F03,2,C2,16,0.33758544921875
F03,3,C2,16,-0.161376953125
F03,4,C2,16,-1.3768558502197266
F03,5,C2,16,-0.063995361328125
F03,6,C2,16,-0.4276275634765625
F03,7,C2,16,-0.2427823543548584
F03,8,C2,16,0.2408447265625
F03,9,C2,16,1.8616943359375
F03,10,C2,16,-0.00976574420928955
F03,11,C2,16,-0.844589114189148
F03,12,C2,16,-0.791259765625
F03,13,C2,16,1.1090087890625
F03,14,C2,16,2.507011294364929
F03,15,C2,16,2.1148682832717896
F03,16,C2,16,2.4360997676849365
F03,17,C2,16,4.4013673067092896
F03,18,C2,16,4.3587034940719604
F03,19,C2,16,4.887695550918579
F03,20,C2,16,5.159606993198395
F03,21,C2,16,6.604125916957855
F03,22,C2,16,6.138671875
F03,23,C2,16,7.19140625
F03,24,C2,16,8.130859315395355
F03,25,C2,16,5.734375014901161
F03,26,C2,16,11.33203125
F03,27,C2,16,13.70703125
F03,28,C2,16,18.265625
F03,29,C2,16,15.925781309604645
F03,30,C2,16,10.437500059604645
F03,31,C2,16,8.296875
F03,32,C2,16,2.156249977648258
F04,0,C2,16,0.078125
F04,1,C2,16,0.713714599609375
F04,2,C2,16,0.41754150390625
F04,3,C2,16,0.923004150390625
F04,4,C2,16,-0.02811431884765625
F04,5,C2,16,1.3267059326171875
F04,6,C2,16,1.567138671875
F04,7,C2,16,0.808349609375
F04,8,C2,16,-1.5113868713378906
F04,9,C2,16,-2.8699951171875
F04,10,C2,16,-3.0026854276657104
F04,11,C2,16,-3.352050542831421
F04,12,C2,16,-3.1503830552101135
F04,13,C2,16,-1.0201417207717896
F04,14,C2,16,2.5165404081344604
F04,15,C2,16,4.072875916957855
F04,16,C2,16,4.120605111122131
F04,17,C2,16,5.616622745990753
F04,18,C2,16,5.493408203125
F04,19,C2,16,5.4638671875
F04,20,C2,16,6.031249940395355
F04,21,C2,16,7.808593809604645
F04,22,C2,16,5.9443359375
F04,23,C2,16,7.552734404802322
F04,24,C2,16,9.675781190395355
F04,25,C2,16,9.369140610098839
F04,26,C2,16,12.375
F04,27,C2,16,12.62890613079071
F04,28,C2,16,14.503906190395355
F04,29,C2,16,12.1171875
F04,30,C2,16,10.7890625
F04,31,C2,16,9.32031238079071
F04,32,C2,16,3.46875
F05,0,C2,16,7.4296875
F05,1,C2,16,1.5435943603515625
F05,2,C2,16,0.6619148254394531
F05,3,C2,16,0.1435546875
F05,4,C2,16,0.01416015625
F05,5,C2,16,-0.088623046875
F05,6,C2,16,-0.6181640625
F05,7,C2,16,0.0626220703125
F05,8,C2,16,-0.54638671875
F05,9,C2,16,1.06195068359375
F05,10,C2,16,0.722412109375
F05,11,C2,16,2.5200960636138916
F05,12,C2,16,3.171440005302429
F05,13,C2,16,6.631591558456421
F05,14,C2,16,4.585334897041321
F05,15,C2,16,6.519210875034332
F05,16,C2,16,6.060058534145355
F05,17,C2,16,7.219909727573395
F05,18,C2,16,5.6494139432907104
F05,19,C2,16,7.508300870656967
F05,20,C2,16,8.526367276906967
F05,21,C2,16,11.633300840854645
F05,22,C2,16,8.98242199420929
F05,23,C2,16,11.53515613079071
F05,24,C2,16,13.185546875
F05,25,C2,16,11.484375
