family,group,left,right,anchor,layer,cosine_distance,rms_normalized_l2
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,20,0.0005110012191137381,0.03197623529297994
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,21,0.0007221287672490861,0.038052920324741495
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,22,0.0008189590615471642,0.040766787610320626
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,23,0.0005167021897211077,0.0331787919553386
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,24,0.0004384104566003133,0.0305235901212948
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,25,0.00040562086468909353,0.02908405453057824
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,26,0.00036877811645963376,0.02762593577740519
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,27,0.0003415674067553942,0.026878659276898583
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,28,0.0003255816459240002,0.02611756979140797
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,29,0.0003623216056205525,0.027965244076769064
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,30,0.0004314633596840256,0.02959268172643924
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,31,0.00038153571027876865,0.027627144322825994
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,32,0.00014731279151158905,0.017410184062831013
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,0,2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,1,5.345484810459489e-06,0.0032697067531677394
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,2,3.218260432458209e-05,0.008022803091999568
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,3,0.000257562739309658,0.022700109241128124
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,4,0.0002537493822101222,0.024839867196903745
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,5,0.0003652296533427357,0.02857372037607522
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,6,0.00040160632164454313,0.02871926169889403
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,7,0.0005005885743372129,0.0324303325407018
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,8,0.0003777221326113356,0.02822299870477797
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,9,0.000364816411028146,0.02715157734327876
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,10,0.00037068260776762507,0.027305245303914462
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,11,0.0004179210124745092,0.028962787267771736
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,12,0.0002892845806196087,0.024208990268031968
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,13,0.0005990263212285463,0.03463264896092948
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,14,0.0004937365290128559,0.031547461487326296
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,15,0.0005272377307479204,0.03252117952046097
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,16,0.0009908470051742668,0.04454606496677987
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,17,0.0006738940267954074,0.03689896829558684
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,18,0.0005933202772372415,0.034474002226125046
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,19,0.0005963757523822499,0.03464789386522402
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,20,0.0005312155986575418,0.03267037707191247
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,21,0.0005832648701913357,0.03455920577532148
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,22,0.00047708656193845567,0.03092333509484833
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,NATIVE_PROMPT_END,23,0.0004209816873206318,0.029027531111636216
